,author,co-author,doi,co-author_list,title
0,"Huffman, Derek J.","['Ekstrom, Arne D.', 'Ekstrom, Arne D.']","['10.1162/jocn_a_01653', '10.1016/j.neuron.2019.08.012']","{'Ekstrom, Arne D.'}","['An Important Step toward Understanding the Role of Body-based Cues on Human Spatial Memory for Large-Scale Environments', 'A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain']"
1,"Nash, Michelle I.","['Kirwan, C. Brock']",['10.1002/hipo.23299'],"{'Kirwan, C. Brock'}",['Pattern separation beyond the hippocampus: A high-resolution whole-brain investigation of mnemonic discrimination in healthy adults']
2,"Baumann, Oliver","['Humphreys, Michael S.', 'Mattingley, Jason B.', 'Mattingley, Jason B.', 'Mattingley, Jason B.', 'Mattingley, Jason B.']","['10.3389/fpsyg.2020.591231', '10.1523/JNEUROSCI.3368-15.2016', '10.1016/j.neuroimage.2012.01.089', '10.1523/JNEUROSCI.3077-10.2010', '10.1016/j.neuroimage.2009.10.021']","{'Mattingley, Jason B.', 'Humphreys, Michael S.'}","['Behavioral and Neural Effects of Familiarization on Object-Background Associations', 'Functional Organization of the Parahippocampal Cortex: Dissociable Roles for Context Representations and the Perception of Visual Scenes', 'Distinct neural networks underlie encoding of categorical versus coordinate spatial relations during active navigation', 'Medial Parietal Cortex Encodes Perceived Heading Direction in Humans', 'Dissociable neural circuits for encoding and retrieval of object locations during active navigation in humans']"
3,"Agathos, Catherine Persephone","['Arleo, Angelo']",['10.3389/fnagi.2020.588653'],"{'Arleo, Angelo'}",['Postural Control While Walking Interferes With Spatial Learning in Older Adults Navigating in a Real Environment']
4,"Zhang, Ze","['Luo, Jing']",['10.1155/2020/1049721'],"{'Luo, Jing'}",['The Function of the Hippocampus in Bridging Functional and Temporal Discontiguity']
5,"Clark, Ian A.","['Maguire, Eleanor A.']",['10.1016/j.neuroimage.2020.117211'],"{'Maguire, Eleanor A.'}",['Does hippocampal volume explain performance differences on hippocampal-dependant tasks?']
6,"Seguin, Caio","['Zalesky, Andrew']",['10.1162/netn_a_00161'],"{'Zalesky, Andrew'}",['Network communication models improve the behavioral and functional predictive utility of the human structural connectome']
7,"Vazquez-Rodriguez, Bertha","['Misic, Bratislav']",['10.1162/netn_a_00153'],"{'Misic, Bratislav'}",['Signal propagation via cortical hierarchies']
8,"Monsa, Rotem","['Arzy, Shahar']",['10.1162/jocn_a_01615'],"{'Arzy, Shahar'}",['Processing of Different Temporal Scales in the Human Brain']
9,"Dombrovski, Alexandre Y.","['Hallquist, Michael N.']",['10.1038/s41467-020-18864-0'],"{'Hallquist, Michael N.'}",['Differential reinforcement encoding along the hippocampal long axis helps resolve the explore-exploit dilemma']
10,"Hackney, Madeleine E.","['Huddleston, Daniel E.']",['10.3389/fneur.2020.00943'],"{'Huddleston, Daniel E.'}","[""Rationale and Design of the PAIRED Trial: Partnered Dance Aerobic Exercise as a Neuroprotective, Motor, and Cognitive Intervention in Parkinson's Disease""]"
11,"Theves, Stephanie","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1523/JNEUROSCI.0494-20.2020', '10.1016/j.cub.2019.02.035']","{'Doeller, Christian F.'}","['The Hippocampus Maps Concept Space, Not Feature Space', 'The Hippocampus Encodes Distances in Multidimensional Feature Space']"
12,"Zeman, Adam","['Winlove, Crawford']",['10.1016/j.cortex.2020.04.003'],"{'Winlove, Crawford'}",['Phantasia-The psychological significance of lifelong visual imagery vividness extremes']
13,"Berens, Sam C.","['Harrison, Neil A.']",['10.1038/s41386-020-00811-8'],"{'Harrison, Neil A.'}",['Minocycline differentially modulates human spatial memory systems']
14,"Ptak, Radek","['Iannotti, Giannina Rita']",['10.1523/JNEUROSCI.0625-20.2020'],"{'Iannotti, Giannina Rita'}",['Discrete Patterns of Cross-Hemispheric Functional Connectivity Underlie Impairments of Spatial Cognition after Stroke']
15,"Aedo-Jury, Felipe","['Severac Cauquil, Alexandra']",['10.3389/fnint.2020.00043'],"{'Severac Cauquil, Alexandra'}",['Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex']
16,"Miro, Julia","['Rodriguez-Fornells, Antoni']",['10.1007/s11682-019-00113-8'],"{'Rodriguez-Fornells, Antoni'}",['Autobiographical memory in epileptic patients after temporal lobe resection or bitemporal hippocampal sclerosis']
17,"Nema, Eva","['Laczo, Jan']",['10.1007/s00415-020-10079-z'],"{'Laczo, Jan'}",['Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']
18,"Sulpizio, Valentina","['Pitzalis, Sabrina', 'Galati, Gaspare', 'Galati, Gaspare', 'Galati, Gaspare']","['10.1007/s00429-020-02112-8', '10.3389/fnhum.2018.00167', '10.1002/hipo.22592', '10.3389/fnhum.2014.00716']","{'Pitzalis, Sabrina', 'Galati, Gaspare'}","['A common neural substrate for processing scenes and egomotion-compatible visual motion', ""Neural Codes for One's Own Position and Direction in a Real-World Vista Environment"", 'Functional Connectivity Between Posterior Hippocampus and Retrosplenial Complex Predicts Individual Differences in Navigational Ability', 'Distributed cognitive maps reflecting real distances between places and views in the human brain']"
19,"Besson, Gabriel","['Bastin, Christine']",['10.1016/j.cortex.2020.02.022'],"{'Bastin, Christine'}",['Familiarity for entities as a sensitive marker of antero-lateral entorhinal atrophy in amnestic mild cognitive impairment']
20,"Nau, Matthias","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1038/s41467-020-17000-2', '10.1038/s41593-017-0050-8']","{'Doeller, Christian F.'}","['Behavior-dependent directional tuning in the human visual-navigation network', 'Hexadirectional coding of visual space in human entorhinal cortex']"
21,"Del Campo-Vera, Roberto Martin","['Lee, Brian']",['10.1088/1741-2552/ab937f'],"{'Lee, Brian'}",['Beta-band power modulation in the human hippocampus during a reaching task']
22,"Brown, Thackery, I","['Wagner, Anthony D.', 'He, Qiliang']","['10.1016/j.cub.2020.03.006', '10.1016/j.cub.2019.06.072']","{'Wagner, Anthony D.', 'He, Qiliang'}","['Stress Disrupts Human Hippocampal-Prefrontal Function during Prospective Spatial Navigation and Hinders Flexible Behavior', 'Environmental Barriers Disrupt Grid-like Representations in Humans during Navigation']"
23,"Park, Jeongho","['Park, Soojin']",['10.1523/JNEUROSCI.1991-19.2020'],"{'Park, Soojin'}",['Coding of Navigational Distance and Functional Constraint of Boundaries in the Human Scene-Selective Cortex']
24,"Olsen, Rosanna K.","['Robin, Jessica']",['10.1016/j.cobeha.2020.01.017'],"{'Robin, Jessica'}",['Zooming in and zooming out: the importance of precise anatomical characterization and broader network understanding of MRI data in human memory experiments']
25,"Koch, Christoph","['Schuck, Nicolas W.']",['10.1016/j.neuropsychologia.2020.107379'],"{'Schuck, Nicolas W.'}",['Effects of aging on encoding of walking direction in the human brain']
26,"Vigano, Simone","['Piazza, Manuela']",['10.1523/JNEUROSCI.1849-19.2020'],"{'Piazza, Manuela'}",['Distance and Direction Codes Underlie Navigation of a Novel Semantic Space in the Human Brain']
27,"Dodge, Neil C.","['Jacobson, Sandra W.']",['10.1111/acer.14310'],"{'Jacobson, Sandra W.'}",['Reduced Hippocampal Volumes Partially Mediate Effects of Prenatal Alcohol Exposure on Spatial Navigation on a Virtual Water Maze Task in Children']
28,"Gao, Andrew F.","['Rosenbaum, R. Shayna']",['10.1016/j.neuropsychologia.2020.107342'],"{'Rosenbaum, R. Shayna'}",['Neuropathology of a remarkable case of memory impairment informs human memory']
29,"Lawrence, Ashley, V","['Ryan, Lee']",['10.1002/hipo.23203'],"{'Ryan, Lee'}",['Medial temporal lobe regions mediate complex visual discriminations for both objects and scenes: A process-based view']
30,"Petrican, Raluca","['Levine, Brian', 'Levine, Brian']","['10.1523/ENEURO.0531-19.2020', '10.1016/j.nicl.2019.101816']","{'Levine, Brian'}","['The Neural Dynamics of Individual Differences in Episodic Autobiographical Memory', 'Electroconvulsive therapy corrects the neural architecture of visuospatial memory: Implications for typical cognitive-affective functioning']"
31,"Roe, James M.","['Westerhausen, Rene']",['10.1093/cercor/bhz153'],"{'Westerhausen, Rene'}",['Age-Related Differences in Functional Asymmetry During Memory Retrieval Revisited: No Evidence for Contralateral Overactivation or Compensation']
32,"Hodgetts, Carl J.","['Graham, Kim S.', 'Graham, Kim S.']","['10.1016/j.cortex.2019.10.017', '10.7554/eLife.07902']","{'Graham, Kim S.'}","['The role of the fornix in human navigational learning', 'Dissociable roles of the inferior longitudinal fasciculus and fornix in face and place perception']"
33,"Wing, Erik A.","['Cabeza, Roberto']",['10.1523/JNEUROSCI.1766-19.2020'],"{'Cabeza, Roberto'}",['Cortical Overlap and Cortical-Hippocampal Interactions Predict Subsequent True and False Memory']
34,"Kamps, Frederik S.","['Dilks, Daniel D.', 'Dilks, Daniel D.', 'Dilks, Daniel D.']","['10.1016/j.cub.2019.12.008', '10.1016/j.cortex.2016.06.022', '10.1016/j.neuroimage.2016.02.062']","{'Dilks, Daniel D.'}","['Late Development of Navigationally Relevant Motion Processing in the Occipital Place Area', 'The occipital place area represents first-person perspective motion information through scenes', 'The occipital place area represents the local elements of scenes']"
35,"Johnson, Elliott Gray","['Ghetti, Simona']",['10.1016/j.infbeh.2020.101427'],"{'Ghetti, Simona'}",['Neuroimaging the sleeping brain: Insight on memory functioning in infants and toddlers']
36,"Tavor, Ido","['Assaf, Yaniv']",['10.1002/hbm.24814'],"{'Assaf, Yaniv'}",['Short-term plasticity following motor sequence learning revealed by diffusion magnetic resonance imaging']
37,"Peters, Riccarda","['Scholey, Andrew']",['10.3389/fnagi.2020.00008'],"{'Scholey, Andrew'}",['Functional Connectivity of the Anterior and Posterior Hippocampus: Differential Effects of Glucose in Younger and Older Adults']
38,"Miller, Thomas D.","['Rosenthal, Clive R.']",['10.7554/eLife.41836'],"{'Rosenthal, Clive R.'}",['Human hippocampal CA3 damage disrupts both recent and remote episodic memories']
39,"Stevenson, Rebecca F.","['Yassa, Michael A.']",['10.1523/JNEUROSCI.0564-19.2019'],"{'Yassa, Michael A.'}",['Pattern Separation and Source Memory Engage Distinct Hippocampal and Neocortical Regions during Retrieval']
40,"Hallab, Asma","['Buchert, Ralph']",['10.3233/JAD-200520'],"{'Buchert, Ralph'}",['Impairment of Everyday Spatial Navigation Abilities in Mild Cognitive Impairment Is Weakly Associated with Reduced Grey Matter Volume in the Medial Part of the Entorhinal Cortex']
41,"Laczo, Jan","['Hort, Jakub', 'Nema, Eva']","['10.3233/JAD-200615', '10.1007/s00415-020-10079-z']","{'Nema, Eva', 'Hort, Jakub'}","['The Combined Effect of APOE and BDNF Va166Met Polymorphisms on Spatial Navigation in Older Adults', 'Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']"
42,"Chen, Xiaoli","['Wolbers, Thomas']",['10.1016/j.neuroimage.2019.116074'],"{'Wolbers, Thomas'}",['Computing distance information from landmarks and self-motion cues - Differential contributions of anterior-lateral vs. posterior-medial entorhinal cortex in humans']
43,"Reynolds, Nadjalisse C.","['Magnusson, Kathy R.']",['10.1016/j.neuroimage.2019.116069'],"{'Magnusson, Kathy R.'}",['Age-related differences in brain activations during spatial memory formation in a well-learned virtual Morris water maze (vMWM) task']
44,"Wang, Xiaojing","['Liu, Baolin']",['10.1016/j.neures.2018.11.009'],"{'Liu, Baolin'}",['Decoding natural scenes based on sounds of objects within scenes using multivariate pattern analysis']
45,"Persichetti, Andrew S.","['Dilks, Daniel D.', 'Dilks, Daniel D.']","['10.1073/pnas.1903057116', '10.1016/j.cortex.2016.02.006']","{'Dilks, Daniel D.'}","['Distinct representations of spatial and categorical relationships across human scene-selective cortex', 'Perceived egocentric distance sensitivity and invariance across scene-selective cortex']"
46,"Boccia, Maddalena","['Guariglia, Cecilia', 'Guariglia, Cecilia', 'Guariglia, Cecilia', 'Galati, Gaspare', 'Galati, Gaspare', 'Nemmi, F.', 'Guariglia, Cecilia']","['10.3389/fnhum.2019.00322', '10.1007/s11682-018-9839-7', '10.3389/fphar.2017.00496', '10.1007/s00429-016-1318-6', '10.1016/j.neuroimage.2016.08.034', '10.1007/s00429-015-1021-z', '10.1007/s11065-014-9247-8']","{'Nemmi, F.', 'Galati, Gaspare', 'Guariglia, Cecilia'}","['Topographical Disorientation: Clinical and Theoretical Significance of Long-Lasting Improvements Following Imagery-Based Training', 'The way to left Piazza del Popolo: damage to white matter tracts in representational neglect for places', 'Effect of Cognitive Style on Learning and Retrieval of Navigational Environments', 'Direct and indirect parieto-medial temporal pathways for spatial navigation in humans: evidence from resting-state functional connectivity', 'I can see where you would be: Patterns of fMRI activity reveal imagined landmarks', 'Navigating toward a novel environment from a route or survey perspective: neural correlates and context-dependent connectivity', 'Neuropsychology of Environmental Navigation in Humans: Review and Meta-Analysis of fMRI Studies in Healthy Participants']"
47,"Peer, Michael","['Arzy, Shahar']",['10.7554/eLife.47492'],"{'Arzy, Shahar'}",['Processing of different spatial scales in the human brain']
48,"Schultz, Heidrun","['Staresina, Bernhard P.']",['10.1523/ENEURO.0291-19.2019'],"{'Staresina, Bernhard P.'}","['Content Tuning in the Medial Temporal Lobe Cortex: Voxels that Perceive, Retrieve']"
49,"He, Qiliang","['Brown, Thackery, I']",['10.1016/j.cub.2019.06.072'],"{'Brown, Thackery, I'}",['Environmental Barriers Disrupt Grid-like Representations in Humans during Navigation']
50,"Hanert, Annika","['Bartsch, Thorsten', 'Bartsch, Thorsten']","['10.1002/hipo.23073', '10.1016/j.neuroscience.2018.12.046']","{'Bartsch, Thorsten'}","['Transient hippocampal CA1 lesions in humans impair pattern separation performance', 'Hippocampal Dentate Gyrus Atrophy Predicts Pattern Separation Impairment in Patients with LGI1 Encephalitis']"
51,"Javadi, Amir-Homayoun","['Spiers, Hugo J.', 'Spiers, Hugo J.']","['10.1162/jocn_a_01414', '10.1038/ncomms14652']","{'Spiers, Hugo J.'}","['Prefrontal Dynamics Associated with Efficient Detours and Shortcuts: A Combined Functional Magnetic Resonance Imaging and Magnetoencenphalography Study', 'Hippocampal and prefrontal processing of network topology to simulate the future']"
52,"Chen, Haoyu","['Yang, Jiongjiong']",['10.1523/JNEUROSCI.3181-18.2019'],"{'Yang, Jiongjiong'}",['Dissociation of the Perirhinal Cortex and Hippocampus During Discriminative Learning of Similar Objects']
53,"Henriksson, Linda","['Kriegeskorte, Nikolaus']",['10.1016/j.neuron.2019.04.014'],"{'Kriegeskorte, Nikolaus'}",['Rapid Invariant Encoding of Scene Layout in Human OPA']
54,"Kim, Misun","['Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.']","['10.1002/hipo.23060', '10.1016/j.neuroimage.2018.11.041', '10.1093/cercor/bhy054', '10.1523/JNEUROSCI.2703-16.2017']","{'Maguire, Eleanor A.'}","['Encoding of 3D head direction information in the human brain', 'Can we study 3D grid codes non-invasively in the human brain? Methodological considerations and fMRI findings', 'Hippocampus, Retrosplenial and Parahippocampal Cortices Encode Multicompartment 3D Space in a Hierarchical Manner', 'Multivoxel Pattern Analysis Reveals 3D Place Information in the Human Hippocampus']"
55,"Ramot, Michal","['Martin, Alex']",['10.1523/JNEUROSCI.0217-19.2019'],"{'Martin, Alex'}","['Multifaceted Integration: Memory for Faces Is Subserved by Widespread Connections between Visual, Memory, Auditory, and Social Networks']"
56,"Bao, Xiaojun","['Gottfried, Jay A.']",['10.1016/j.neuron.2019.03.034'],"{'Gottfried, Jay A.'}",['Grid-like Neural Representations Support Olfactory Navigation of a Two-Dimensional Odor Space']
57,"Weisberg, Steven M.","['Chatterjee, Anjan', 'Chatterjee, Anjan']","['10.1016/j.cortex.2018.12.024', '10.1523/JNEUROSCI.3250-17.2018']","{'Chatterjee, Anjan'}","['Everyday taxi drivers: Do better navigators have larger hippocampi?', 'Behavioral and Neural Representations of Spatial Directions across Words, Schemas, and Images']"
58,"Collins, Jessica A.","['Dickerson, Bradford C.']",['10.1002/hipo.23003'],"{'Dickerson, Bradford C.'}",['Functional connectivity in category-selective brain networks after encoding predicts subsequent memory']
59,"Zajac, Lauren","['Killiany, Ronald']",['10.1002/brb3.1236'],"{'Killiany, Ronald'}","[""Self-reported navigation ability is associated with optic flow-sensitive regions' functional connectivity patterns during visual path integration""]"
60,"Koutsarnakis, Christos","['Stranjalis, George']",['10.1007/s00429-018-01822-4'],"{'Stranjalis, George'}",['Sledge runner fasciculus: anatomic architecture and tractographic morphology']
61,"Thavabalasingam, Sathesan","['Lee, Andy C. H.']",['10.1073/pnas.1819993116'],"{'Lee, Andy C. H.'}",['Evidence for the incorporation of temporal duration information in human hippocampal long-term memory sequence representations']
62,"Hirjak, Dusan","['Thomann, Philipp A.', 'Thomann, Philipp A.']","['10.1080/15622975.2017.1355474', '10.1002/hipo.22726']","{'Thomann, Philipp A.'}","[""The relevance of hippocampal subfield integrity and clock drawing test performance for the diagnosis of Alzheimer's disease and mild cognitive impairment"", ""Hippocampal formation alterations differently contribute to autobiographic memory deficits in mild cognitive impairment and Alzheimer's disease""]"
63,"Saj, Arnaud","['Honore, Jacques']",['10.3389/fneur.2019.00142'],"{'Honore, Jacques'}",['Functional Neuroanatomy of Vertical Visual Perception in Humans']
64,"Inhoff, Marika C.","['Davachi, Lila']",['10.1016/j.neuropsychologia.2018.12.020'],"{'Davachi, Lila'}",['Understanding perirhinal contributions to perception and memory: Evidence through the lens of selective perirhinal damage']
65,"Gilmore, Adrian W.","['Martin, Alex']",['10.1016/j.neuropsychologia.2018.12.023'],"{'Martin, Alex'}",['Identifying task-general effects of stimulus familiarity in the parietal memory network']
66,"Silson, Edward H.","['Baker, Chris, I']",['10.1523/JNEUROSCI.1219-18.2018'],"{'Baker, Chris, I'}",['A Posterior-Anterior Distinction between Scene Perception and Scene Construction in Human Medial Parietal Cortex']
67,"Koen, Joshua D.","['Rugg, Michael D.']",['10.1523/JNEUROSCI.1498-18.2018'],"{'Rugg, Michael D.'}","['The Relationship between Age, Neural Differentiation, and Memory Performance']"
68,"Wang, Xin","['Tong, Raymond Kai-yu']",['10.1162/netn_a_00105'],"{'Tong, Raymond Kai-yu'}",['Synchronization lag in post stroke: relation to motor function and structural connectivity']
69,"Ribas-Fernandes, Jose J. F.","['Botvinick, Matthew M.']",['10.1162/jocn_a_01341'],"{'Botvinick, Matthew M.'}",['Subgoal- and Goal-related Reward Prediction Errors in Medial Prefrontal Cortex']
70,"van Kesteren, Marlieke T. R.","['Wagner, Anthony D.']",['10.3389/fnhum.2018.00486'],"{'Wagner, Anthony D.'}",['Learned Spatial Schemas and Prospective Hippocampal Activity Support Navigation After One-Shot Learning']
71,"Roberts, Brooke M.","['Ranganath, Charan']",['10.1016/j.bbr.2017.05.068'],"{'Ranganath, Charan'}",['Brain activity related to working memory for temporal order and object information']
72,"Stawarczyk, David","[""D'Argembeau, Arnaud""]",['10.1093/cercor/bhx270'],"{""D'Argembeau, Arnaud""}",['Differential Contributions of Default and Dorsal Attention Networks to Remembering Thoughts and External Stimuli From Real-Life Events']
73,"Burte, Heather","['Hegarty, Mary']",['10.3389/fnhum.2018.00410'],"{'Hegarty, Mary'}",['The Neural Basis of Individual Differences in Directional Sense']
74,"Chen, Dong","['Wang, Liang']",['10.1016/j.cub.2018.08.029'],"{'Wang, Liang'}",['Hexadirectional Modulation of Theta Power in Human Entorhinal Cortex during Spatial Navigation']
75,"Staudigl, Tobias","['Doeller, Christian F.']",['10.1016/j.cub.2018.09.035'],"{'Doeller, Christian F.'}",['Hexadirectional Modulation of High-Frequency Electrophysiological Activity in the Human Anterior Medial Temporal Lobe Maps Visual Space']
76,"Sekeres, Melanie J.","['Grady, Cheryl L.']",['10.1002/hipo.23009'],"{'Grady, Cheryl L.'}",['Changes in patterns of neural activity underlie a time-dependent transformation of memory in rats and humans']
77,"Chrastil, Elizabeth R.","['Stern, Chantal E.', 'Stern, Chantal E.', 'Stern, Chantal E.']","['10.1037/bne0000278', '10.1523/ENEURO.0346-16.2017', '10.1523/JNEUROSCI.1209-15.2015']","{'Stern, Chantal E.'}","['Converging Meta-Analytic and Connectomic Evidence for Functional Subregions Within the Human Retrosplenial Region', 'Individual Differences in Human Path Integration Abilities Correlate with Gray Matter Volume in Retrosplenial Cortex, Hippocampus, and Medial Prefrontal Cortex', 'There and Back Again: Hippocampus and Retrosplenial Cortex Track Homing Distance during Human Path Integration']"
78,"Dalton, Marshall A.","['Maguire, Eleanor A.']",['10.1523/JNEUROSCI.0263-18.2018'],"{'Maguire, Eleanor A.'}","['Differentiable Processing of Objects, Associations, and Scenes within the Hippocampus']"
79,"Peng, Limin","['Hu, Dewen']",['10.1002/brb3.1022'],"{'Hu, Dewen'}",['Functional connectivity changes in the entorhinal cortex of taxi drivers']
80,"Blumenthal, Anna","['Kohler, Stefan']",['10.1002/hbm.24212'],"{'Kohler, Stefan'}",['Animacy and real-world size shape object representations in the human medial temporal lobes']
81,"Powell, Lindsey J.","['Saxe, Rebecca']",['10.1016/j.tics.2018.06.009'],"{'Saxe, Rebecca'}",['Social Origins of Cortical Face Areas']
82,"Parikh, Natasha","['De Brigard, Felipe']",['10.1016/j.neuroimage.2018.05.053'],"{'De Brigard, Felipe'}",['What if? Neural activity underlying semantic and episodic counterfactual thinking']
83,"Kafkas, Alex","['Montaldi, Daniela']",['10.1016/j.neulet.2018.01.053'],"{'Montaldi, Daniela'}",['How do memory systems detect and respond to novelty?']
84,"Santangelo, Valerio","['Campolongo, Patrizia']",['10.1073/pnas.1802730115'],"{'Campolongo, Patrizia'}",['Enhanced brain activity associated with memory access in highly superior autobiographical memory']
85,"Arnold, Aiden E. G. F.","['Iaria, Giuseppe', 'Iaria, Giuseppe']","['10.3389/fnhum.2018.00292', '10.1162/jocn_a_00491']","{'Iaria, Giuseppe'}","['Dynamic Neural Network Reconfiguration During the Generation and Reinstatement of Mnemonic Representations', 'Neural Network Configuration and Efficiency Underlies Individual Differences in Spatial Orientation Ability']"
86,"Starrett, Michael J.","['Ekstrom, Arne D.']",['10.3389/fnhum.2018.00281'],"{'Ekstrom, Arne D.'}","['Perspective: Assessing the Flexible Acquisition, Integration, and Deployment of Human Spatial Representations and Information']"
87,"Brunec, Iva K.","['Moscovitch, Morris']",['10.1016/j.cub.2018.05.016'],"{'Moscovitch, Morris'}",['Multiple Scales of Representation along the Hippocampal Anteroposterior Axis in Humans']
88,"Anggraini, Dian","['Wunderlich, Klaus']",['10.1038/s41598-018-28241-z'],"{'Wunderlich, Klaus'}",['Neural signatures of reinforcement learning correlate with strategy adoption during spatial navigation']
89,"Barry, Daniel N.","['Maguire, Eleanor A.']",['10.1371/journal.pbio.2005479'],"{'Maguire, Eleanor A.'}",['Nonmonotonic recruitment of ventromedial prefrontal cortex during remote memory recall']
90,"Dillon, Moira R.","['Dilks, Daniel D.']",['10.1093/cercor/bhx139'],"{'Dilks, Daniel D.'}",['Places in the Brain: Bridging Layout and Object Geometry in Scene-Selective Cortex']
91,"Thielen, Jan-Willem","['Tendolkar, Indira']",['10.1002/hbm.24008'],"{'Tendolkar, Indira'}",['The increase in medial prefrontal glutamate/glutamine concentration during memory encoding is associated with better memory performance and stronger functional connectivity in the human medial prefrontal-thalamus-hippocampus network']
92,"Sherrill, Katherine R.","['Stern, Chantal E.', 'Stern, Chantal E.', 'Stern, Chantal E.']","['10.1016/j.neuroscience.2018.04.006', '10.1016/j.neuroimage.2015.06.009', '10.1523/JNEUROSCI.1825-13.2013']","{'Stern, Chantal E.'}","['Structural Differences in Hippocampal and Entorhinal Gray Matter Volume Support Individual Differences in First Person Navigational Ability', 'Functional connections between optic flow areas and navigationally responsive brain regions during goal-directed navigation', 'Hippocampus and Retrosplenial Cortex Combine Path Integration Signals for Successful Navigation']"
93,"Shiell, Martha M.","['Formisano, Elia']",['10.1523/JNEUROSCI.3323-17.2018'],"{'Formisano, Elia'}",['Activity in Human Auditory Cortex Represents Spatial Separation Between Concurrent Sounds']
94,"Jeye, Brittany M.","['Slotnick, Scott D.']",['10.1016/j.brainres.2018.02.029'],"{'Slotnick, Scott D.'}",['Distinct regions of the hippocampus are associated with memory for different spatial locations']
95,"Kaboodvand, Neda","['Salami, Alireza']",['10.1002/hbm.23983'],"{'Salami, Alireza'}",['The retrosplenial cortex: A memory gateway between the cortical default mode network and the medial temporal lobe']
96,"Daitch, Amy L.","['Parvizi, Josef']",['10.1073/pnas.1721714115'],"{'Parvizi, Josef'}",['Spatial and temporal heterogeneity of neural responses in human posteromedial cortex']
97,"Auger, Stephen D.","['Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.']","['10.1162/jocn_a_01231', '10.1016/j.neuropsychologia.2017.08.012', '10.7554/eLife.09031', '10.1371/journal.pone.0043620']","{'Maguire, Eleanor A.'}","['Dissociating Landmark Stability from Orienting Value Using Functional Magnetic Resonance Imaging', 'Efficacy of navigation may be influenced by retrosplenial cortex-mediated learning of landmark stability', 'A central role for the retrosplenial cortex in de novo environmental learning', 'Retrosplenial Cortex Codes for Permanent Landmarks']"
98,"Geddes, Maiya R.","['Gabrieli, John D. E.']",['10.1016/j.neuroimage.2017.12.053'],"{'Gabrieli, John D. E.'}",['Human aging reduces the neurobehavioral influence of motivation on episodic memory']
99,"Morales, Jorge","['Fleming, Stephen M.']",['10.1523/JNEUROSCI.2360-17.2018'],"{'Fleming, Stephen M.'}",['Domain-General and Domain-Specific Patterns of Activity Supporting Metacognition in Human Prefrontal Cortex']
100,"Robin, Jessica","['Moscovitch, Morris', 'Olsen, Rosanna K.']","['10.1523/JNEUROSCI.1638-17.2018', '10.1016/j.cobeha.2020.01.017']","{'Olsen, Rosanna K.', 'Moscovitch, Morris'}","['The Primacy of Spatial Context in the Neural Representation of Events', 'Zooming in and zooming out: the importance of precise anatomical characterization and broader network understanding of MRI data in human memory experiments']"
101,"Vanlangendonck, Flora","['Hagoort, Peter']",['10.1016/j.neuropsychologia.2017.12.008'],"{'Hagoort, Peter'}",['Distinguishable memory retrieval networks for collaboratively and non-collaboratively learned information']
102,"Brandt, Jason","['Bakker, Arnold']",['10.1037/neu0000410'],"{'Bakker, Arnold'}",['Neuropsychological Investigation of The Amazing Memory Man']
103,"Muto, Hiroyuki","['Morikawa, Kazunori']",['10.1037/xhp0000464'],"{'Morikawa, Kazunori'}",['Spatial Perspective Taking Mediated by Whole-Body Motor Simulation']
104,"Faraut, Mailys C. M.","['Rutishauser, Ueli']",['10.1038/sdata.2018.10'],"{'Rutishauser, Ueli'}",['Dataset of human medial temporal lobe single neuron activity during declarative memory encoding and recognition']
105,"Martin, Chris B.","['Barense, Morgan D.', 'Koehler, Stefan', 'Koehler, Stefan']","['10.7554/eLife.31873', '10.1002/hipo.22531', '10.1523/JNEUROSCI.0126-13.2013']","{'Koehler, Stefan', 'Barense, Morgan D.'}","['Integrative and distinctive coding of visual and conceptual object features in the ventral visual stream', 'Distributed category-specific recognition-memory signals in human perirhinal cortex', 'Distinct Familiarity-Based Response Patterns for Faces and Buildings in Perirhinal and Parahippocampal Cortex']"
106,"Julian, Joshua B.","['Epstein, Russell A.']",['10.1038/s41593-017-0049-1'],"{'Epstein, Russell A.'}",['Human entorhinal cortex represents visual space using a boundary-anchored grid']
107,"Palombo, Daniela J.","['Levine, Brian', 'Levine, Brian']","['10.1002/hipo.22818', '10.1016/j.neuropsychologia.2015.04.012']","{'Levine, Brian'}","['Episodic autobiographical memory is associated with variation in the size of hippocampal subregions', 'Severely deficient autobiographical memory (SDAM) in healthy adults: A new mnemonic syndrome']"
108,"Kanayet, Frank J.","['McClelland, James L.']",['10.1162/jocn_a_01199'],"{'McClelland, James L.'}",['Distinct Representations of Magnitude and Spatial Position within Parietal Cortex during Number-Space Mapping']
